game_date,release_speed,release_spin_rate,vx0,vy0,vz0,balls,strikes,zone,release_pos_x,release_pos_z,pfx_x,pfx_z,plate_x,plate_z,release_extension,ax,ay,az,CH,FF,KC,SL,ball,called_strike,double,field_error,field_out,home_run,single,strikeout,strikeout_looking,swinging_strike,walk
2020-10-09,89.5,2612.0,4.278783631569112,-130.36285448074236,-4.043891939213335,1,1,8.0,-2.04,5.57,0.66,0.44,0.25,1.9,6.4,6.661438897863565,25.763455173956817,-26.54838836163601,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2020-10-09,89.3,2613.0,6.1607960676306,-130.00595458686368,-4.462245183265731,0,1,14.0,-2.02,5.57,0.48,0.48,0.88,1.78,6.6,4.472029958924447,22.55744314519729,-26.00729543033863,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2020-10-09,97.6,2515.0,6.912558294155076,-142.03582741337047,-4.20776019547032,0,0,1.0,-2.14,5.4,-0.92,1.32,-0.38,2.94,6.6,-14.05275792146861,30.558924567427027,-13.446119156419156,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-10-09,85.0,2815.0,3.41854977545676,-123.70100331872884,0.0761663590427703,1,1,8.0,-1.96,5.63,0.53,-1.13,-0.05,1.99,6.5,4.672094414801981,26.18274562250948,-43.93615817976397,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2020-10-09,84.3,2744.0,3.321129332296185,-122.77690171839808,1.2360022485079416,1,0,5.0,-1.84,5.77,0.42,-1.0,-0.06,2.72,6.5,3.644863653031341,23.66006395734725,-42.71331673773377,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2020-10-09,88.1,2472.0,-1.4094699304180045,-128.41259948471878,2.2480709196863,0,0,11.0,-2.17,5.69,0.43,0.55,-2.38,4.59,6.3,5.105148711773314,24.928375714374194,-26.730355723766102,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2020-10-09,99.8,2477.0,10.537359064261365,-144.75730004308022,-7.652322675734316,0,2,9.0,-2.14,5.29,-1.03,1.47,0.79,1.81,6.7,-16.98239094445102,35.13369342988417,-9.849200515658508,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-10-09,88.9,2551.0,4.364879807018532,-129.46516248396318,-2.595797966252807,0,1,8.0,-2.1,5.46,0.4,0.21,0.01,2.15,6.7,3.71532820874242,24.308669876187736,-29.499824663565303,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2020-10-09,82.0,2596.0,2.696395425250781,-119.2800853969268,3.4220605820745438,0,0,2.0,-1.84,5.72,0.73,-1.08,-0.03,3.39,6.5,6.364271682388132,24.06465059364792,-43.37821394407795,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2020-10-09,99.6,2575.0,7.593935603626204,-144.74646772024636,-2.909105893571138,3,2,11.0,-2.1,5.46,-0.88,1.47,-0.1,3.68,6.6,-14.184145844587473,36.96051569230728,-11.079998330898087,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
