game_date,release_speed,release_spin_rate,vx0,vy0,vz0,balls,strikes,zone,release_pos_x,release_pos_z,pfx_x,pfx_z,plate_x,plate_z,release_extension,ax,ay,az,CH,CU,FF,SL,ball,called_strike,double,field_error,field_out,home_run,single,strikeout,strikeout_looking,swinging_strike,walk
2020-09-26,99.2,2490.0,6.152330496573104,-144.2512883174272,-5.381758024287189,2,2,12.0,-0.76,5.41,-0.69,1.43,0.87,2.71,7.0,-11.006873014655415,33.80234143352588,-11.126013145023542,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2020-09-26,92.9,1634.0,5.043849304864769,-135.1314533896609,-4.547529202333903,2,2,8.0,-0.95,5.41,-1.11,0.3,0.04,1.65,7.0,-14.717305079269345,29.37734141007257,-27.719839641647,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-09-26,94.3,2619.0,5.947038894390239,-137.34481736103288,-3.363629850189164,2,2,14.0,-0.93,5.44,0.31,0.44,1.59,2.38,7.0,2.7802720923369293,26.98203518303562,-26.02145609323927,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2020-09-26,91.8,1489.0,3.864745391145922,-133.65885112074477,-3.3333242923689337,2,2,8.0,-0.81,5.44,-1.08,0.25,-0.23,2.05,7.1,-13.771836758190588,27.402949883768063,-28.63834615390364,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-09-26,98.6,2277.0,5.37962533151985,-143.6392119430662,-2.956882481221941,2,1,3.0,-1.01,5.36,-0.44,1.34,0.56,3.45,7.0,-7.300108679693958,30.95967095188055,-13.01199974836384,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2020-09-26,97.8,2271.0,6.512744354926469,-142.30371056801025,-4.034141760529312,1,1,12.0,-0.81,5.41,-0.27,1.3,1.34,3.01,7.0,-5.0882574315451645,30.73946872914592,-13.73059950596146,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2020-09-26,99.1,2404.0,4.650687451355975,-144.31217916789214,-1.230400543708685,0,1,12.0,-0.88,5.43,-0.39,1.43,0.46,4.23,7.0,-6.545922744197673,33.1899514716493,-12.039023160491883,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2020-09-26,94.1,2429.0,3.702106772325769,-137.1362658065091,-3.670264829711872,0,0,6.0,-0.91,5.46,0.27,0.5,0.73,2.31,7.0,2.758214467940942,27.232314836274497,-25.261226876883537,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2020-09-26,91.5,1463.0,1.8190158007239157,-133.44635478677998,1.2771697457042657,3,2,11.0,-0.87,5.48,-1.04,0.05,-1.04,3.73,7.0,-12.855499131608385,24.918491536156026,-31.95239511909733,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-09-26,93.7,1543.0,8.52070028330084,-135.90275464505885,-9.76865886067372,2,2,14.0,-0.79,5.31,-1.18,0.3,1.45,-0.39,7.2,-16.481213326344847,28.62748285585653,-26.555934173501093,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
