game_date,home_team,away_team,release_speed,release_spin_rate,events,zone,release_pos_x,release_pos_z,pfx_x,pfx_z,plate_x,plate_z,release_extension,vx0,vy0,vz0,ax,ay,az,CH,FF,KC,SL,ball,called_strike,called_strikeout,double,field_error,field_out,home_run,single,strikeout,swinging_strike,walk
2020-09-16,NYY,TOR,97.5,2470.0,field_out,6,-2.02,5.52,-1.11,1.43,0.52,2.65,6.6,9.436539721535857,-141.6482029942163,-5.526040218543677,-17.09995956273497,32.12689715529012,-11.753567084868742,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-09-16,NYY,TOR,90.9,1705.0,ball,13,-2.0,5.34,-1.36,0.98,-0.02,0.76,6.7,7.933202004985309,-132.03978475039838,-7.727738155202275,-17.58108711678633,26.69190050755785,-19.22427905415681,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-09-16,NYY,TOR,83.1,2823.0,swinging_strike,8,-1.99,5.65,0.81,-1.22,0.09,1.59,6.2,3.177048479988127,-120.90452129907774,-0.3403485487873101,7.149272247952397,26.681336781984445,-44.21649786299536,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2020-09-16,NYY,TOR,81.0,2705.0,called_strike,8,-1.91,5.74,0.89,-0.86,0.01,1.73,6.3,2.5814950524466047,-117.90419649045218,-0.6553059267557828,7.799322390132567,23.30372692119404,-40.23875205623591,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2020-09-16,NYY,TOR,86.2,2524.0,field_out,4,-1.94,5.6,0.44,0.42,-0.49,2.62,6.3,2.551749140073701,-125.68945911447216,-1.779931784997695,4.241509050759805,22.839284191419907,-27.573020335234883,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2020-09-16,NYY,TOR,96.1,2356.0,ball,11,-1.83,5.64,-0.83,1.51,-0.19,4.3,6.5,6.249438226965398,-139.78690019708947,-1.359109515083585,-12.348417200127535,32.55411871497868,-12.343726943242473,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-09-16,NYY,TOR,95.7,2420.0,called_strike,6,-1.79,5.58,-0.91,1.47,0.77,2.68,6.5,8.828605588053092,-138.9617737146609,-5.320837872252337,-13.808951176153252,31.477169639259955,-12.157410314966643,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-09-16,NYY,TOR,80.5,2756.0,ball,11,-1.86,5.85,1.08,-0.85,-0.39,4.44,6.2,1.20266147588763,-117.08861083826751,5.159909005238452,9.683923436541244,22.12763987062969,-41.223279323758,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2020-09-16,NYY,TOR,98.1,2588.0,called_strikeout,4,-2.12,5.57,-1.04,1.65,-0.71,2.68,6.4,6.233992983320658,-142.56792482451502,-6.131808127461578,-15.66411502674795,34.80954274975952,-8.441791974709702,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-09-16,NYY,TOR,89.9,1600.0,swinging_strike,13,-2.02,5.45,-1.39,0.83,-0.02,1.35,6.6,7.930005300577588,-130.54261201605485,-5.90480501802755,-17.54838067614118,28.12991261181059,-21.63006327436477,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
